Date,Price,Volume
2024-02-22,22217.45,343495136
2024-02-23,22212.7,225983194
2024-02-26,22122.05,207775504
2024-02-27,22198.35,252199186
2024-02-28,21951.15,202952371
2024-02-29,21982.8,360165824
2024-03-01,22338.75,351503075
2024-03-04,22405.6,298794435
2024-03-05,22356.3,296153036
2024-03-06,22474.05,312262560
2024-03-07,22493.55,379865142
2024-03-11,22332.65,277897373
2024-03-12,22335.7,299201167
2024-03-13,21997.7,493341697
2024-03-14,22146.65,426742460
2024-03-15,22023.35,661460455
2024-03-18,22055.7,356321519
2024-03-19,21817.45,344157465
2024-03-20,21839.1,312414696
2024-03-21,22011.95,353172434
2024-03-22,22096.75,388656439
2024-03-26,22004.7,328403719
2024-03-27,22123.65,409136866
2024-03-28,22326.9,407422815
2024-04-01,22462.0,243637071
2024-04-02,22453.3,289524237
2024-04-03,22434.65,309647491
2024-04-04,22514.65,400986156
2024-04-05,22513.7,242244731
2024-04-08,22666.3,227633561
2024-04-09,22642.75,232356772
2024-04-10,22753.8,276847931
2024-04-12,22519.4,357187778
2024-04-15,22272.5,355465814
2024-04-16,22147.9,317267066
2024-04-18,21995.85,456906707
2024-04-19,22147.0,362530569
2024-04-22,22336.4,279259571
2024-04-23,22368.0,231520813
2024-04-24,22402.4,235898642
2024-04-25,22570.35,475044740
2024-04-26,22419.95,329887340
2024-04-29,22643.4,291957361
2024-04-30,22604.85,361859375
2024-05-02,22648.2,445909456
2024-05-03,22475.85,438060727
2024-05-06,22442.7,320255789
2024-05-07,22302.5,297815469
2024-05-08,22302.5,277438692
2024-05-09,21957.5,331327454
2024-05-10,22055.2,265804411
2024-05-13,22104.05,278186886
2024-05-14,22217.85,230238941
2024-05-15,22200.55,231935478
2024-05-16,22403.85,368945092
2024-05-17,22466.1,242654570
2024-05-18,22502.0,19064566
2024-05-21,22529.05,347591587
2024-05-22,22597.8,290345590
2024-05-23,22967.65,369767547
2024-05-24,22957.1,261927120
2024-05-27,22932.45,260006078
2024-05-28,22888.15,217890750
2024-05-29,22704.7,269932784
2024-05-30,22488.65,373374457
2024-05-31,22530.7,572122639
2024-06-03,23263.9,569425569
2024-06-04,21884.5,1006105058
2024-06-05,22620.35,638487077
2024-06-06,22821.4,480413289
2024-06-07,23290.15,473554898
2024-06-10,23259.2,304392368
2024-06-11,23264.85,305185666
2024-06-12,23322.95,295630910
2024-06-13,23398.9,268279841
2024-06-14,23465.6,223086741
2024-06-18,23557.9,272207297
2024-06-19,23516.0,328811255
2024-06-20,23567.0,280336970
2024-06-21,23501.1,609877803
2024-06-24,23537.85,239358460
2024-06-25,23721.3,298111025
2024-06-26,23868.8,287824687
2024-06-27,24044.5,515227010
2024-06-28,24010.6,354779832
